time_s,duty_permille,duty_ratio,encoder_count,delta_count,rpm,rad_per_second,sample_time_s,host_time_s
16.2,715,0.715,57705,-29,-223.076,-23.36,0.0500000000000007,17.8129646
16.25,717,0.717,57676,-29,-223.076,-23.36,0.0500000000000007,17.8135541
16.3,719,0.719,57648,-28,-215.384,-22.555,0.0500000000000007,17.898177
16.35,720,0.72,57618,-30,-230.769,-24.166,0.0499999999999972,17.9224982
16.4,722,0.722,57589,-29,-223.076,-23.36,0.0500000000000007,17.9876843
16.45,724,0.724,57560,-29,-223.076,-23.36,0.0500000000000007,18.0294539
16.5,725,0.725,57530,-30,-230.769,-24.166,0.0500000000000007,18.0763788
16.55,727,0.727,57502,-28,-215.384,-22.555,0.0500000000000007,18.1229545
16.6,729,0.729,57472,-30,-230.769,-24.166,0.0499999999999972,18.165431
16.65,730,0.73,57442,-30,-230.769,-24.166,0.0500000000000007,18.2513799
16.7,732,0.732,57412,-30,-230.769,-24.166,0.0500000000000007,18.2733229
16.75,733,0.733,57382,-30,-230.769,-24.166,0.0500000000000007,18.3389421
16.8,735,0.735,57352,-30,-230.769,-24.166,0.0500000000000007,18.3682844
16.85,737,0.737,57323,-29,-223.076,-23.36,0.0499999999999972,18.4307673
16.9,738,0.738,57293,-30,-230.769,-24.166,0.0500000000000007,18.4751499
16.95,740,0.74,57263,-30,-230.769,-24.166,0.0500000000000007,18.5216237
17,741,0.741,57233,-30,-230.769,-24.166,0.0500000000000007,18.611922
